Name,Organization,Bio,Position,Status
"Oráculo ICL","","","Palestrante","???"
"Tainá Junquilho","","Diretora do Curta","Palestrante","CONFIRMADO"
"Ana Farranha","UnB","","Palestrante","CONFIRMADO"
"Rosane Cordeiro","Sindados – MG","","Palestrante","CONFIRMADO"
"Débora Siroteau","CNPD e INPD","","Palestrante","A CONFIRMAR"
"Eduardo Marcelino","GYO","","Palestrante","CONFIRMADO"
"Fernanda Rodrigues","IRIS","","Palestrante","Aguarando confirmação"
"Fernanda Lauria","SISEJUFE-RJ","","Palestrante","Aguarando confirmação"
"Henrique Pereira","","","Responsável","CONFIRMADO"
"Nati","Coletivo de comunicadoras da Marcha Mundial das Mulheres (MMM)","","Palestrante","CONFIRMADA"
"Inês Simon","Jornalista e sindicalista da CUT","","Palestrante","CONFIRMADA"
"Everton Rodrigues","Movimento Software Livre e Rede de Economia Solidária","","Palestrante","CONFIRMADO"
